model,g/km,g/mi,price,Estimated Profit
Fit,174,280.02516,17945,943.907
Civic Coupe,189,304.16526,22680,1192.968
Civic Sedan,186,299.33724,23950,1259.77
Civic Hatchback,167,268.75978,24950,1312.37
Civic Type R,223,358.88282,44795,2356.217
Accord Sedan,170,273.5878,27895,1467.277
Accord Hybrid,117,188.29278,32545,1711.867
Insight Hybrid,115,185.0741,25760,1354.976
Clarity Plug-In Hybrid,36,57.93624,34415,1810.229
HR-V,181,291.29054,24100,1267.66
CR-V,180,289.6812,29500,1551.7
Passport,265,426.4751,41900,2203.94
Pilot,266,428.08444,37090,1950.934
Odyssey,248,399.11632,37840,1990.384
Ridgeline,269,432.91246,38800,2040.88
